,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
150,5191,15808370,Neumann,553,Germany,Male,39,1,128329.43077735406,3,1,1,94422.91685150981,0
151,8996,15633545,Brown,671,Spain,Female,40,3,411.1216800173087,2,1,1,37879.39900016291,1
152,8699,15618672,Wood,829,Spain,Male,48,8,100233.27305476609,3,1,1,19859.99470143373,1
153,2860,15622249,Ho,584,Germany,Male,44,9,104392.77817205004,1,1,0,4288.945218621771,0
154,5946,15797296,Chiazagomekpele,451,France,Female,39,7,151906.7601752826,2,1,0,192306.48948271517,0
155,8011,15716642,Degtyarev,688,Spain,Female,28,8,103189.76988156412,2,1,0,87963.61291633549,0
156,1120,15757637,Hartzler,588,France,Female,37,8,139415.8912180351,2,1,1,165515.3030746305,1
157,9674,15730773,Sullivan,635,Spain,Male,43,5,129639.98271632331,2,0,0,88689.78942232204,1
158,8227,15617923,Onuchukwu,746,Germany,Male,33,5,196494.85103587754,2,1,0,17129.833631772737,0
159,8073,15585444,Chiang,579,Spain,Female,34,7,117490.356089323,2,1,0,3804.479835699174,1
160,9050,15588945,Zuyeva,723,Germany,Male,39,7,87707.13399115196,3,0,0,142200.12476499568,1
161,8735,15657614,Taylor,740,Spain,Female,30,10,80635.46760569292,3,0,1,121180.71834627051,1
162,9975,15694485,Kazantseva,682,Spain,Male,30,9,64108.55598737877,1,1,0,137936.9227607259,1
163,3196,15631479,Marian,628,Germany,Female,53,4,125223.5971679491,2,1,1,182018.14115348473,1
164,8008,15632750,Chienezie,683,Germany,Female,29,8,148355.31777636724,3,0,0,121607.98713238485,1
165,1464,15585319,Macartney,529,Germany,Male,39,7,-1797.8488000329107,2,1,0,94962.14913074338,1
166,9618,15746518,Wilson,590,France,Male,49,2,1030.698887659761,2,1,1,104083.65989761299,1
167,5160,15673764,Lipton,745,France,Female,57,6,1605.9269504794784,2,0,1,149791.88445003334,1
168,4479,15798756,Pearson,522,Spain,Male,34,3,115088.05326936927,2,0,1,177864.62266065576,0
169,9647,15758013,Clements,619,Germany,Female,34,1,115201.10057344782,1,1,1,134469.24121734436,1
170,9590,15700458,Campos,615,France,Male,56,3,103988.14225791313,1,1,1,13015.7970798856,1
171,8693,15751757,Pisani,614,Germany,Male,51,2,148792.85896802298,1,1,0,191482.81264654634,0
172,5125,15797614,Howells,570,Germany,Male,30,9,1474.0842489268764,2,1,1,67375.14393004893,0
173,6539,15744832,Sharwood,560,France,Male,38,2,118867.46598874356,2,1,1,151852.99504175372,0
174,7641,15720335,Williamson,608,France,Female,25,1,45.81598659853853,2,1,1,92774.85299613587,1
175,8938,15712898,Hunter,694,France,Female,28,8,129293.42787144634,1,1,1,137227.2570154702,1
176,1576,15714127,Milne,620,Germany,Female,29,4,104257.69805657295,1,1,0,183932.13172123575,0
177,4008,15764008,Chandler,804,Spain,Male,39,3,1842.1521745386779,2,1,1,195351.93588841415,0
178,4402,15586289,Chiedozie,479,Spain,Female,39,5,643.5171550253415,2,0,1,9670.111643055188,0
179,9715,15604433,Clark,836,Germany,Male,40,1,115537.87356219084,1,1,1,93610.29368626159,1
180,440,15672746,Chiemela,689,Germany,Female,41,7,75315.49764231074,2,1,0,124101.50676647181,0
181,4177,15684272,Lavrentiev,501,Germany,Male,31,8,137357.27294889634,2,0,0,20109.089131197325,0
182,2301,15758448,Cheng,638,France,Female,29,6,109303.5475332051,2,1,1,189737.51056087008,0
183,4744,15614018,Jamieson,542,Germany,Male,33,5,88164.71430979062,1,0,1,190974.58705215433,0
184,4992,15694970,Gray,587,Spain,Female,35,9,160128.52750031612,2,1,1,184767.35899185014,1
185,8494,15700971,Ibekwe,788,Spain,Female,33,4,131433.7069815425,2,1,1,159762.4383623007,1
186,7914,15584810,Todd,632,Spain,Male,35,8,2609.214919192479,1,1,0,194725.9874169798,1
187,5790,15775867,Barry,611,Germany,Male,34,8,102946.52323085189,2,1,0,189250.4091272792,0
188,8887,15620514,Edmondstone,592,Germany,Female,22,3,112784.68378339338,2,0,1,159366.48869027995,0
189,2730,15704266,Beneventi,629,Germany,Male,64,4,79992.51254646889,2,1,1,116684.22506090558,1
190,555,15732197,Boucaut,688,Germany,Female,50,8,127058.38797442107,2,0,1,116151.76432227192,1
191,9231,15617763,Vachon,579,France,Female,35,3,124438.74317550959,1,1,0,182411.15402417709,0
192,9312,15583216,Obiajulu,775,Germany,Male,57,3,133618.40487287557,2,0,0,93120.61120937923,0
193,4161,15767562,Wakelin,705,Germany,Male,34,2,549.7520875672724,2,1,0,103869.43203794613,0
194,9737,15634603,Pugliesi,758,Germany,Male,37,3,-712.0114749877929,2,1,0,147352.8410118494,1
195,9495,15809416,Milne,742,Germany,Female,40,7,120619.29683995081,1,1,1,181318.54273387202,1
196,5750,15631201,Read,749,France,Female,25,4,669.6269273178158,2,0,1,92583.86329480053,0
197,6209,15682437,Benson,537,Germany,Male,39,9,103959.13060491289,3,0,0,189776.22899816796,0
198,7830,15691544,Moss,657,France,Female,28,9,111145.6242539257,2,0,0,128277.32873402126,1
199,1616,15600358,Yuan,733,France,Female,35,5,146788.57160544998,2,1,1,157332.1524447944,0
200,8635,15670001,Muldrow,811,France,Female,23,3,-1049.7128890276203,2,0,0,111566.0087130324,0
201,1067,15688697,Yuriev,836,Germany,Male,35,2,116852.86373579271,2,1,1,98924.43409069006,0
202,1089,15808416,Pirozzi,773,Spain,Female,41,8,148675.57411754451,2,0,1,154581.11368960323,1
203,1381,15578308,Mack,540,France,Female,39,4,123160.02681183527,1,1,1,162571.07920807786,1
204,9579,15748483,Macarthur,470,Spain,Male,40,2,101344.34018461844,1,1,0,170366.86148881092,1
205,4850,15580640,Nash,658,Spain,Female,26,8,1604.7902345725136,2,0,1,44204.18451241737,1
206,3496,15680508,Shipp,465,France,Female,21,5,309.11821142043,2,0,0,174112.2566966393,1
207,8478,15651008,Chidimma,602,Germany,Female,31,8,99502.1022648983,2,1,0,56133.29395706964,1
208,8619,15600574,Konovalova,535,Germany,Female,38,7,128.5804818911416,2,1,1,134197.29689615907,0
209,1543,15781155,Meng,734,Germany,Male,23,9,118269.21052564123,1,0,0,154158.49905091152,0
210,7989,15639521,Ajuluchukwu,706,Germany,Male,47,3,124007.04762132847,2,1,1,160589.73677311608,0
211,6663,15620221,Chimaraoke,591,France,Female,35,4,126604.71706831545,2,1,0,100611.13598740197,1
212,4875,15594156,Kershaw,635,France,Female,29,10,1251.617055190631,2,1,1,49789.69000467409,0
213,9227,15747503,Small,723,Germany,Male,25,10,83008.79199131789,1,1,0,150239.2732191987,0
214,7499,15687559,Gregory,516,Spain,Female,50,7,133077.54342674726,2,1,0,111840.2605069615,0
215,5007,15770947,Yevseyev,556,France,Female,37,4,140687.01766640635,2,1,1,126510.8954397379,1
216,9611,15790956,Hill,643,Germany,Male,49,1,110243.14964561789,2,0,0,102793.4142650053,1
217,3834,15756344,T'ao,652,France,Female,35,7,123851.75234799541,2,0,1,151695.97294122173,1
218,2647,15612693,Siddons,550,Germany,Female,24,4,-1412.647732476675,1,0,0,185825.78955723552,0
219,8412,15688779,Mistry,600,Germany,Male,35,4,117272.00349785732,1,1,0,16548.48415511559,1
220,1997,15721915,Gibson,632,Germany,Male,43,5,69247.32642587455,2,1,0,51031.774174431834,1
221,5023,15694222,Shih,619,Spain,Male,47,10,105087.26607208769,2,0,1,168720.93310130655,0
222,8628,15746865,Tseng,741,Germany,Male,25,5,98287.54345239743,2,1,0,187238.90075953008,0
223,7769,15624378,Udegbulam,504,Spain,Female,23,4,92688.58125957882,2,0,1,141292.11226650147,1
224,2970,15595600,Streeten,705,Germany,Female,36,6,-1504.2859227545366,3,1,1,38104.34079001441,0
225,8292,15686528,Williamson,711,Germany,Male,54,8,132252.91846726064,2,1,1,196582.78430655482,1
226,9441,15658635,Osonduagwuike,710,Spain,Male,26,2,106860.53436038154,2,1,1,166235.60269650278,0
227,2231,15705288,T'ien,753,France,Male,27,4,116122.7635562054,2,0,0,47182.4203743602,0
228,3391,15657312,Evdokimov,773,France,Male,43,10,76299.76279011017,2,0,1,116679.98868101597,1
229,9263,15671552,Yang,658,Germany,Male,68,10,96512.99786750392,2,1,0,9659.358012559562,0
230,2456,15768845,Murray,520,France,Male,28,1,133849.00639630065,2,1,0,190786.62146629085,0
231,1765,15660209,Everett,633,Germany,Female,30,8,78125.74031972687,1,1,1,142010.44539594656,0
232,8446,15621981,Tucker,682,France,Female,30,3,143274.02469636302,2,1,0,134340.08417956735,0
233,2640,15647294,Berkeley,602,Germany,Female,40,9,137354.9461627512,2,1,0,119128.19147715125,0
234,8948,15678285,Wilkie,613,France,Female,43,7,113818.57979860024,2,0,1,172084.56518120234,1
235,5826,15643760,Houghton,768,Spain,Male,37,3,163286.08836527486,2,0,1,177377.95055795234,0
236,1574,15629700,Pai,592,France,Female,29,7,90635.46627910133,2,1,0,192007.5492039577,0
237,8057,15637704,Sheppard,683,Germany,Male,34,9,105720.70967689529,2,1,0,172627.20595169018,0
238,9024,15715296,Storey,666,France,Female,27,5,125675.99401884495,2,1,1,19711.570781553168,0
239,9566,15622162,Feetham,666,France,Female,34,2,115667.80177501499,2,0,1,122479.56180595452,0
240,3370,15719028,Lupton,657,Spain,Female,35,1,112196.4082966486,2,1,0,186369.49995846313,0
241,2484,15757500,Distefano,636,Germany,Female,48,10,100147.98852688131,1,1,1,168288.60692275665,1
242,4431,15671464,Ball,514,Germany,Female,58,10,71822.593117032,1,1,1,191511.3452251061,1
243,7921,15663566,Fuller,562,France,Female,37,7,109631.38036035075,2,0,1,187414.8780278056,1
244,5542,15640454,Welch,784,France,Male,69,9,140025.35225142632,2,1,1,67731.73012124583,0
245,9413,15799319,Gray,788,Spain,Male,43,7,1100.1950460375822,1,0,1,185602.0960216819,0
246,8744,15659268,Campbell,794,Spain,Male,43,9,129912.16415672567,2,1,0,122584.33233166568,0
247,4031,15759264,Carslaw,780,Germany,Female,33,2,479.7527501248228,1,1,1,45037.645107002434,0
248,8275,15577704,Hung,465,Spain,Male,31,8,127072.6424027517,2,1,0,104173.34902551374,0
249,4012,15612879,Nwachukwu,728,France,Female,32,3,478.0879482054618,1,1,1,120147.18373779867,1
250,7319,15775578,Lu,538,France,Male,49,3,1136.2958318357107,2,1,1,89067.0486476116,0
251,7839,15752132,Baryshnikov,668,Spain,Female,30,4,370.6708639850259,2,1,1,186079.22046208516,0
252,2879,15575686,Schnaars,646,Germany,Female,67,1,-1201.7029136024532,2,0,1,181773.76853473944,0
253,2659,15603524,Sanderson,834,France,Male,40,9,2281.4136498920884,1,0,1,133610.02166066514,1
254,5976,15768590,Allardyce,748,Germany,Male,31,3,79560.18297946706,2,0,0,50557.88569995868,1
255,8246,15735101,Woronoff,618,Germany,Male,29,2,141010.61569758606,2,1,1,19141.653575218676,0
256,3003,15617463,Byrne,594,Germany,Female,39,5,134095.55937850836,1,1,0,23756.38231468708,0
257,7125,15742156,Winters,827,Spain,Male,24,3,124729.6484219134,2,1,1,138150.75503020105,0
258,6204,15600506,Kao,453,Spain,Male,41,1,58676.120239727126,2,1,0,129608.41668068357,0
259,2643,15802916,Burt,626,Germany,Male,29,6,118684.88018401524,2,0,1,196364.89214821043,0
260,5723,15593726,Marino,717,Germany,Female,26,7,132105.77253258615,2,1,0,120761.54497756937,1
261,1029,15669116,Kazantseva,496,Germany,Male,25,9,72874.29212306807,2,1,1,57123.51513430267,0
262,5713,15766388,Crawford,738,Germany,Female,33,7,91047.95296864092,2,1,1,157064.9696845127,0
263,9408,15690884,Chia,633,Spain,Male,32,3,103796.49377757426,3,1,1,163169.651915179,0
264,3606,15631401,Gerald,788,Spain,Male,42,1,132720.98801667162,1,0,0,196483.503975116,0
265,5967,15580762,Cattaneo,713,Germany,Male,51,9,116708.68164710204,1,0,1,182951.9041846927,1
266,8975,15648209,Ansell,706,Spain,Male,25,9,119988.90522413634,2,0,0,166247.82228589625,0
267,3777,15631224,Vasilyeva,596,Germany,Female,29,5,143907.097064606,2,0,1,120402.99450634414,1
268,4408,15752419,Otutodilichukwu,770,France,Female,63,6,125521.39788443742,2,0,0,51679.80410918061,0
269,9497,15612821,Newland,640,Germany,Male,33,1,129555.40621734998,2,0,1,152476.11307529756,0
270,6629,15800735,Atkinson,671,Spain,Male,46,3,154832.20531146933,2,1,1,180231.01051134497,0
271,8931,15624708,Bazarova,756,France,Female,24,2,120030.79408184176,2,1,0,124406.37701264479,1
